,year_film,year_ceremony,ceremony,category,name,film,winner,distributor
284,2018,2019,91,CINEMATOGRAPHY,Alfonso Cuarón,Roma,True,Netflix
289,2018,2019,91,COSTUME DESIGN,Mary Zophres,The Ballad of Buster Scruggs,False,Netflix
292,2018,2019,91,DIRECTING,Pawel Pawlikowski,Cold War,False,Amazon Studios
293,2018,2019,91,DIRECTING,Alfonso Cuarón,Roma,True,Netflix
303,2018,2019,91,DOCUMENTARY (Short Subject),Rob Epstein and Jeffrey Friedman,End Game,False,Netflix
305,2018,2019,91,DOCUMENTARY (Short Subject),Rayka Zehtabchi and Melissa Berton,Period. End of Sentence.,True,Netflix
312,2018,2019,91,FOREIGN LANGUAGE FILM,Poland,Cold War,False,Amazon Studios
314,2018,2019,91,FOREIGN LANGUAGE FILM,Mexico,Roma,True,Netflix
332,2018,2019,91,MUSIC (Original Song),Music and Lyric by Gillian Welch and David Rawlings,The Ballad of Buster Scruggs,False,Netflix
336,2018,2019,91,PRODUCTION DESIGN,Production Design: Eugenio Caballero; Set Decoration: Bárbara Enríquez,Roma,False,Netflix
352,2018,2019,91,SOUND EDITING,Sergio Díaz and Skip Lievsay,Roma,False,Netflix
357,2018,2019,91,SOUND MIXING,"Skip Lievsay, Craig Henighan and José Antonio García",Roma,False,Netflix
367,2018,2019,91,WRITING (Adapted Screenplay),Written by Joel Coen & Ethan Coen,The Ballad of Buster Scruggs,False,Netflix
370,2018,2019,91,WRITING (Original Screenplay),Written by Alfonso Cuarón,Roma,False,Netflix
390,2017,2018,90,ACTRESS IN A SUPPORTING ROLE,Mary J. Blige,Mudbound,False,Netflix
410,2017,2018,90,CINEMATOGRAPHY,Rachel Morrison,Mudbound,False,Netflix
424,2017,2018,90,DOCUMENTARY (Feature),Bryan Fogel and Dan Cogan,Icarus,True,Netflix
426,2017,2018,90,DOCUMENTARY (Feature),Yance Ford and Joslyn Barnes,Strong Island,False,Netflix
429,2017,2018,90,DOCUMENTARY (Short Subject),Elaine McMillion Sheldon and Kerrin Sheldon,Heroin(e),False,Netflix
439,2017,2018,90,FOREIGN LANGUAGE FILM,Hungary,On Body and Soul,False,Netflix
457,2017,2018,90,MUSIC (Original Song),"Music and Lyric by Mary J. Blige, Raphael Saadiq and Taura Stinson",Mudbound,False,Netflix
493,2017,2018,90,WRITING (Adapted Screenplay),Screenplay by Virgil Williams and Dee Rees,Mudbound,False,Netflix
497,2017,2018,90,WRITING (Original Screenplay),Written by Emily V. Gordon & Kumail Nanjiani,The Big Sick,False,Amazon Studios
504,2016,2017,89,ACTOR IN A LEADING ROLE,Casey Affleck,Manchester by the Sea,True,Amazon Studios
507,2016,2017,89,ACTOR IN A SUPPORTING ROLE,Lucas Hedges,Manchester by the Sea,False,Amazon Studios
518,2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Michelle Williams,Manchester by the Sea,False,Amazon Studios
532,2016,2017,89,BEST PICTURE,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck and Kevin J. Walsh, Producers",Manchester by the Sea,False,Amazon Studios
547,2016,2017,89,DIRECTING,Kenneth Lonergan,Manchester by the Sea,False,Amazon Studios
549,2016,2017,89,DOCUMENTARY (Feature),"Ava DuVernay, Spencer Averick and Howard Barish",13th,False,Netflix
555,2016,2017,89,DOCUMENTARY (Short Subject),Dan Krauss,Extremis,False,Netflix
557,2016,2017,89,DOCUMENTARY (Short Subject),Orlando von Einsiedel and Joanna Natasegara,The White Helmets,True,Netflix
567,2016,2017,89,FOREIGN LANGUAGE FILM,Iran,The Salesman,True,Amazon Studios
624,2016,2017,89,WRITING (Original Screenplay),Written by Kenneth Lonergan,Manchester by the Sea,True,Amazon Studios
677,2015,2016,88,DOCUMENTARY (Feature),"Liz Garbus, Amy Hobby and Justin Wilkes","What Happened, Miss Simone?",False,Netflix
678,2015,2016,88,DOCUMENTARY (Feature),Evgeny Afineevsky and Den Tolmor,Winter on Fire: Ukraine's Fight for Freedom,False,Netflix
802,2014,2015,87,DOCUMENTARY (Feature),Orlando von Einsiedel and Joanna Natasegara,Virunga,False,Netflix
928,2013,2014,86,DOCUMENTARY (Feature),Jehane Noujaim and Karim Amer,The Square,False,Netflix
